Recency,Frequency,Monetary,Cluster,Segment
225,1,160.95,1,Occasional
3,14,2755.63,0,Regular
12,7,1328.35,0,Regular
73,2,605.12,0,Regular
211,1,1031.07,1,Occasional
24,2,744.85,0,Regular
16,4,700.73,0,Regular
261,1,329.56,1,Occasional
95,4,663.65,0,Regular
111,3,270.40000000000003,0,Regular
202,1,585.12,1,Occasional
92,1,121.74000000000001,0,Regular
50,1,430.5,0,Regular
17,6,1961.52,0,Regular
17,4,501.12,0,Regular
124,2,465.68,0,Regular
91,3,711.41,0,Regular
156,2,1030.4,1,Occasional
8,2,399.51,0,Regular
11,3,672.83,0,Regular
61,1,283.18,0,Regular
60,1,557.62,0,Regular
268,2,944.1,1,Occasional
262,1,200.29,1,Occasional
0,35,7436.93,3,High-Value
52,5,2092.66,0,Regular
10,12,3834.2599999999998,0,Regular
2,19,4521.49,3,High-Value
17,11,3174.75,0,Regular
0,15,5343.28,3,High-Value
365,1,590.0,1,Occasional
36,1,211.49,0,Regular
30,2,276.56,0,Regular
112,1,138.98,0,Regular
63,2,590.9300000000001,0,Regular
15,4,258.4,0,Regular
40,1,542.73,0,Regular
77,1,137.75,0,Regular
121,3,798.46,0,Regular
17,3,1132.14,0,Regular
59,2,93.66,0,Regular
330,1,201.19,1,Occasional
22,4,2709.12,0,Regular
155,1,361.11,1,Occasional
38,2,578.9399999999999,0,Regular
189,2,873.74,1,Occasional
359,1,201.20000000000002,1,Occasional
136,1,87.4,0,Regular
7,4,2089.85,0,Regular
0,1,360.0,0,Regular
267,1,142.5,1,Occasional
168,1,371.89,1,Occasional
103,4,618.09,0,Regular
154,1,63.75,1,Occasional
350,1,300.42,1,Occasional
3,10,2000.86,0,Regular
119,1,15.0,0,Regular
22,3,1385.51,0,Regular
6,5,1456.79,0,Regular
27,3,1132.03,0,Regular
3,2,598.57,0,Regular
21,5,1555.32,0,Regular
1,3,775.94,0,Regular
36,4,5732.93,0,Regular
65,6,2273.68,0,Regular
0,3,640.76,0,Regular
4,26,10845.550000000001,3,High-Value
77,4,1532.2,0,Regular
71,2,567.36,0,Regular
16,1,199.48000000000002,0,Regular
2,5,787.85,0,Regular
35,10,7121.95,0,Regular
81,1,675.3,0,Regular
38,8,3627.77,0,Regular
315,1,1308.48,1,Occasional
31,2,789.0,0,Regular
92,3,1140.93,0,Regular
13,1,350.9,0,Regular
81,3,3502.32,0,Regular
76,1,795.12,0,Regular
157,1,487.02,1,Occasional
200,1,860.12,1,Occasional
44,7,10736.48,0,Regular
260,1,775.85,1,Occasional
177,1,353.43,1,Occasional
67,3,2511.69,0,Regular
287,1,389.5,1,Occasional
69,1,341.36,0,Regular
63,1,233.76,0,Regular
10,1,247.32,0,Regular
15,2,979.12,0,Regular
65,1,373.94,0,Regular
59,1,397.97999999999996,0,Regular
70,1,743.53,0,Regular
121,1,674.7,0,Regular
79,1,768.24,0,Regular
256,1,609.4,1,Occasional
268,1,439.03,1,Occasional
63,1,439.56,0,Regular
8,4,3090.7400000000002,0,Regular
17,2,992.5,0,Regular
70,1,134.95999999999998,0,Regular
33,2,2225.37,0,Regular
49,1,56.160000000000004,0,Regular
256,2,623.4,1,Occasional
365,1,308.28000000000003,1,Occasional
371,1,754.87,1,Occasional
89,1,378.64,0,Regular
60,3,3312.25,0,Regular
88,1,778.65,0,Regular
98,3,1019.76,0,Regular
25,3,572.56,0,Regular
31,6,3639.31,0,Regular
280,1,222.99,1,Occasional
30,7,4151.93,0,Regular
329,1,534.57,1,Occasional
130,2,677.1,0,Regular
10,3,797.96,0,Regular
74,1,544.08,0,Regular
203,1,59.8,1,Occasional
1,8,2520.02,0,Regular
184,1,307.72,1,Occasional
28,2,1360.99,0,Regular
72,5,1544.13,0,Regular
191,1,457.34,1,Occasional
126,2,621.23,0,Regular
17,1,75.0,0,Regular
0,2,252.49,0,Regular
73,3,572.451,0,Regular
1,62,28117.04,3,High-Value
23,5,1003.06,0,Regular
106,1,213.55,0,Regular
133,3,1390.5,0,Regular
43,2,712.5,0,Regular
4,2,640.83,0,Regular
11,18,6127.43,3,High-Value
63,1,221.06,0,Regular
149,2,159.85,1,Occasional
39,2,1833.71,0,Regular
63,1,2626.3,0,Regular
107,3,1624.21,0,Regular
0,10,3641.32,0,Regular
18,3,582.6,0,Regular
9,1,201.78,0,Regular
10,4,1006.8,0,Regular
18,2,679.45,0,Regular
66,2,1269.1,0,Regular
73,2,534.24,0,Regular
4,7,3809.8900000000003,0,Regular
1,1,196.89,0,Regular
13,7,3408.06,0,Regular
254,1,283.71,1,Occasional
91,1,296.64,0,Regular
22,3,1129.14,0,Regular
16,6,3534.69,0,Regular
23,1,291.88,0,Regular
26,6,2043.7199999999998,0,Regular
25,5,2898.2599999999998,0,Regular
258,2,590.0,1,Occasional
165,2,356.97999999999996,1,Occasional
24,2,1058.34,0,Regular
17,6,1766.72,0,Regular
6,14,9646.57,3,High-Value
28,2,183.44,0,Regular
38,3,1445.0,0,Regular
252,1,151.5,1,Occasional
57,1,674.68,0,Regular
183,1,307.9,1,Occasional
10,2,1071.91,0,Regular
1,37,5704.97,3,High-Value
98,2,165.0,0,Regular
0,4,2501.84,0,Regular
60,2,422.64,0,Regular
235,1,226.84,1,Occasional
190,4,1431.78,1,Occasional
178,2,1238.47,1,Occasional
37,6,1454.58,0,Regular
200,2,300.95,1,Occasional
45,5,1804.56,0,Regular
231,1,184.64,1,Occasional
65,1,140.34,0,Regular
240,1,313.8,1,Occasional
232,1,454.24,1,Occasional
77,3,1122.41,0,Regular
57,3,575.4,0,Regular
16,13,8968.31,3,High-Value
104,4,449.52,0,Regular
51,10,1215.82,0,Regular
135,3,1269.84,0,Regular
274,2,618.63,1,Occasional
311,1,316.26000000000005,1,Occasional
7,5,2044.8700000000001,0,Regular
10,2,653.33,0,Regular
282,2,348.05,1,Occasional
17,5,1159.11,0,Regular
22,3,1166.77,0,Regular
287,1,1340.32,1,Occasional
16,3,292.0,0,Regular
70,1,216.85,0,Regular
63,1,295.93,0,Regular
72,4,4393.63,0,Regular
315,2,458.52,1,Occasional
2,4,2479.16,0,Regular
243,1,110.97,1,Occasional
8,7,979.72,0,Regular
0,4,1791.56,0,Regular
260,1,251.21,1,Occasional
126,1,205.1,0,Regular
73,1,152.20000000000002,0,Regular
72,4,891.12,0,Regular
20,3,1389.41,0,Regular
59,3,2128.42,0,Regular
85,1,627.16,0,Regular
77,1,122.75,0,Regular
58,6,3624.35,0,Regular
0,3,1071.73,0,Regular
29,1,125.80000000000001,0,Regular
32,5,3964.88,0,Regular
40,5,680.1800000000001,0,Regular
14,2,628.78,0,Regular
33,7,2242.36,0,Regular
78,2,307.76,0,Regular
204,2,483.8,1,Occasional
33,1,210.31,0,Regular
182,3,269.09,1,Occasional
1,25,5870.08,3,High-Value
0,7,3444.39,0,Regular
42,7,1280.85,0,Regular
85,3,631.34,0,Regular
39,2,276.06,0,Regular
11,3,621.09,0,Regular
95,2,678.16,0,Regular
25,7,918.2,0,Regular
318,1,91.80000000000001,1,Occasional
65,12,3740.07,0,Regular
73,4,4098.88,0,Regular
27,2,584.06,0,Regular
5,4,594.52,0,Regular
6,1,171.42000000000002,0,Regular
215,1,141.85999999999999,1,Occasional
81,3,1799.33,0,Regular
83,2,777.53,0,Regular
143,3,1724.67,0,Regular
18,2,240.22,0,Regular
40,2,856.84,0,Regular
172,1,187.05,1,Occasional
16,2,338.62,0,Regular
242,1,239.49,1,Occasional
12,12,2088.94,0,Regular
205,1,1384.25,1,Occasional
49,2,290.25,0,Regular
